"cell","X","Y","Z"
"ID_23697","18.85183703365522","13.453649817286182","20.646464646464647"
"ID_23720","16.05567643303492","14.652184463505218","21.452830188679247"
"ID_23769","16.219899940830175","16.755714430133033","24.046511627906977"
"ID_23699","12.811512811512811","17.595017595017595","20.0"
"ID_23592","15.001500150015001","16.03962000001604","14.871287128712872"
"ID_23665","17.30618009687777","15.21734079873615","18.0"
"ID_23643","14.85990496979508","14.602761855509108","17.593406593406595"
"ID_23709","12.290881856099247","29.698073176334045","20.097826086956523"
"ID_23713","14.689918536072382","32.31176308099385","20.432692307692307"
"ID_23668","10.848258270938683","20.928268350948766","18.61855670103093"
"ID_23687","11.033564752573017","26.505398406224856","19.578512396694215"
"ID_23645","12.96761860142142","16.459875614805192","17.0"
"ID_23611","11.125296839582553","19.040161897304753","15.0"
"ID_23820","10.505437321375636","22.748568688137638","13.155875907432165"
"ID_23631","11.305725591439877","27.979313693599412","16.702380952380953"
"ID_23615","10.145464690919237","24.400933491842583","15.969696969696969"
"ID_23535","14.456132103190928","16.34613399319282","11.0"
"ID_23573","12.294856044856045","17.13236088236088","13.0"
"ID_23540","11.772265293392055","24.36974267960184","11.605633802816902"
"ID_23523","15.861873004730148","19.10573339144768","10.0"
"ID_23536","13.412058866604323","20.210133846497484","11.159090909090908"
"ID_23522","18.88664050826213","16.21339459177297","10.91891891891892"
"ID_23507","22.86420891072054","15.14513142420119","9.534883720930232"
"ID_23563","14.88274215546943","31.861395497759133","12.0"
"ID_23579","13.798328405069979","29.885086064861348","13.438202247191011"
"ID_23543","13.018859172705328","27.825027825027828","11.0"
"ID_23578","11.630334210979372","27.77954390857617","13.596774193548388"
"ID_23510","17.276017276017274","30.235030235030237","9.444444444444445"
"ID_23505","22.896478592681124","30.322055638511333","8.151898734177216"
"ID_23504","15.754880619745485","27.324757054486785","8.405405405405405"
"ID_23508","13.489824810579528","23.221721334928883","9.0"
"ID_23763","25.61752561752562","27.58127758127758","23.444444444444443"
"ID_23783","21.94837488955136","26.28002628002628","24.0"
"ID_23708","25.246542100474688","28.984073927894155","20.0"
"ID_23729","27.90650790650791","26.686106686106687","21.0"
"ID_23785","22.303147303147302","29.16002916002916","24.321428571428573"
"ID_23816","19.63958485697616","30.49633484416093","25.25"
"ID_23790","25.53373339890194","31.691155286660905","24.0"
"ID_23766","28.49362399924198","32.4890212530662","23.168539325842698"
"ID_23812","16.015132294202065","26.540259098398636","25.54263565891473"
"ID_23813","19.271269271269272","27.031527031527034","25.15"
"ID_23727","18.90438783642667","25.428083680510866","21.553398058252426"
"ID_23707","21.490589672407854","28.894119803210714","20.0"
"ID_23726","14.058585487156916","24.866453437882008","21.49206349206349"
"ID_23732","16.265921777732803","27.77176005522462","21.0"
"ID_23764","15.749026738037726","30.898712217393538","23.945054945054945"
"ID_23712","18.780941857864935","31.97080120157043","20.7"
"ID_23531","19.99339837177675","34.608683257331904","10.905405405405405"
"ID_23546","17.696646910130056","33.00879705374088","11.786516853932584"
"ID_23547","23.31763870225409","35.05572736341967","11.330769230769231"
"ID_23532","26.882903595232364","35.39592580688471","10.36986301369863"
"ID_23566","16.776751470629023","35.671260161056075","12.66326530612245"
"ID_23619","16.113829673151706","34.477661596305666","15.305084745762711"
"ID_23567","22.299665156808015","37.30825159396588","12.0"
"ID_23601","19.462756304861568","36.78919468393153","14.494736842105263"
"ID_23751","19.948519948519948","33.895833895833896","22.9"
"ID_23818","27.72080358287255","34.63063807891394","25.396551724137932"
"ID_23817","22.671973891486086","33.232716159545426","25.67479674796748"
"ID_23750","23.583237868952153","34.092891235748375","22.38095238095238"
"ID_23752","26.257373196148706","35.98962782636252","22.53061224489796"
"ID_23636","14.345728631442917","32.38288952574667","16.0"
"ID_23653","12.248071949564487","31.041971340478803","17.0"
"ID_23659","17.87001787001787","35.55225777448","17.88888888888889"
"ID_23690","15.578529092042604","34.34476407449381","19.16216216216216"
"ID_23598","25.045739331453618","27.588489126950666","14.747252747252746"
"ID_23630","21.921321921321923","27.235827235827237","16.75"
"ID_23651","18.885183720348557","25.647058614091584","17.736263736263737"
"ID_23670","15.356772113528871","24.472727175429878","18.34234234234234"
"ID_23649","19.77668644335311","22.22668889335556","17.0"
"ID_23646","16.111910848752956","21.066652645600016","17.0"
"ID_23609","26.73196221583318","18.739373578083256","15.397849462365592"
"ID_23648","23.16894208786101","21.554616149210744","17.603603603603602"
"ID_23650","12.619161555331768","23.074491159597546","17.5531914893617"
"ID_23597","16.023230308944594","24.684935399221114","14.491071428571429"
"ID_23762","14.063950234163","19.87853051682839","23.159574468085108"
"ID_23745","11.945161198892542","23.41009803696371","22.559701492537314"
"ID_23772","20.147488501918883","18.438626033562745","24.0"
"ID_23701","14.506456814149123","21.750598673675597","20.932692307692307"
"ID_23802","16.70638034274398","20.09002009002009","25.0"
"ID_23721","17.763662623475707","21.800208716096567","21.065420560747665"
"ID_23797","27.995374530027995","15.54952050001555","25.91089108910891"
"ID_23819","31.718213536395357","15.804561259106713","26.0"
"ID_23801","26.798268556510315","19.826723123426422","25.47252747252747"
"ID_23799","23.495478040932586","19.200019200019202","25.0"
"ID_23757","28.938550677681114","12.642273511838729","23.608695652173914"
"ID_23759","25.94723524956083","14.495247053386587","23.232558139534884"
"ID_23798","23.261317378964435","15.975545387310094","25.388235294117646"
"ID_23767","20.195377338234483","15.155372298229441","24.19047619047619"
"ID_23804","21.255673429586473","21.62349988436945","25.07246376811594"
"ID_23807","18.91778207567681","23.416602363970785","25.0"
"ID_23724","20.874077477851063","22.380305399173324","21.79245283018868"
"ID_23703","23.645939138896885","23.90199573298165","20.760563380281692"
"ID_23779","23.9017739017739","24.041274041274043","24.0"
"ID_23780","27.284862449697613","24.20013409024398","24.813186813186814"
"ID_23743","25.5268216433265","21.12118616972986","22.75728155339806"
"ID_23742","28.967470827935944","20.58595081850896","22.0"
"ID_23482","31.96203196203196","15.525015525015526","7.0"
"ID_23501","29.475029475029476","14.91969233904718","8.903225806451612"
"ID_23500","27.111693778360447","14.611681278347945","8.0"
"ID_23480","24.688661052297416","14.431378067741704","7.0"
"ID_23484","25.85325165970327","17.766308088888735","7.225806451612903"
"ID_23487","22.79111654111654","19.015331515331514","7.0"
